year,month,age,male,female
2015,6,14,1298,1310
2015,6,15,1360,1290
2015,6,16,1382,1300
2015,6,17,1385,1357
2015,6,18,1335,1300
2015,6,19,1278,1341
2015,6,20,1388,1218
2015,6,21,1395,1175
2015,6,22,1293,1164
2015,6,23,1398,1141
2015,6,24,1277,1152
2015,6,25,1333,1199
2015,6,26,1262,1243
2015,6,27,1333,1283
2015,6,28,1373,1331
2015,6,29,1514,1360
2015,6,30,1526,1418
2015,6,31,1616,1501
2015,6,32,1562,1464
2015,6,33,1647,1486
2015,6,34,1653,1594
2015,6,35,1738,1713
2015,6,36,1809,1608
2015,6,37,1824,1700
2015,6,38,1887,1815
2015,6,39,1936,1873
2015,6,40,2067,1882
2015,6,41,2113,1970
2015,6,42,2002,1959
2015,6,43,2026,1863
2015,6,44,1956,1810
2015,6,45,1840,1725
2015,6,46,1808,1727
2015,6,47,1806,1801
2015,6,48,1764,1668
2015,6,49,1537,1528
2015,6,50,1798,1673
2015,6,51,1604,1620
2015,6,52,1666,1542
2015,6,53,1572,1604
2015,6,54,1610,1704
2015,6,55,1728,1711
2015,6,56,1808,1727
2015,6,57,1685,1728
2015,6,58,1830,1689
2015,6,59,1728,1848
2015,6,60,1951,1927
2015,6,61,1870,1962
2015,6,62,2046,2057
2015,6,63,2180,2246
2015,6,64,2265,2360
2015,6,65,2415,2517
2015,6,66,2478,2426
2015,6,67,2501,2486
2015,6,68,1960,1953
2015,6,69,1126,1223
2015,6,70,1395,1499
2015,6,71,1668,1907
2015,6,72,1503,1774
2015,6,73,1614,1857
2015,6,74,1474,1652
2015,6,75,1384,1525
2015,6,76,1145,1387
2015,6,77,1341,1762
2015,6,78,1260,1609
2015,6,79,1296,1799
2015,6,80,1059,1535
2015,6,81,989,1479
2015,6,82,1023,1630
2015,6,83,906,1430
2015,6,84,890,1467
2015,6,85,750,1250
2015,6,86,740,1334
2015,6,87,621,1130
2015,6,88,561,1042
2015,6,89,474,1034
2015,6,90,329,788
2015,6,91,205,694
2015,6,92,167,545
2015,6,93,128,493
2015,6,94,126,439
2015,6,95,74,302
2015,6,96,47,192
2015,6,97,38,184
2015,6,98,21,111
2015,6,99,12,74
2015,6,100,8,49
2015,6,101,7,37
2015,6,102,5,18
2015,6,103,3,14
2015,6,104,0,7
2015,6,105,2,6
2015,6,106,1,1
2015,6,107,0,2
2015,6,108,0,1
2015,6,109,0,0
2015,6,110,0,0
2015,6,111,0,0
2015,6,112,0,0
2015,6,113,0,0
2015,6,114,0,0
2015,6,115,0,0
2015,6,116,0,0
2015,6,117,0,0
2015,6,118,0,0
2015,6,119,0,0
2015,6,120,0,0
2015,7,0,1040,980
2015,7,1,1092,1079
2015,7,2,1111,1038
2015,7,3,1140,1055
2015,7,4,1186,1119
2015,7,5,1168,1082
2015,7,6,1204,1149
2015,7,7,1278,1141
2015,7,8,1235,1208
2015,7,9,1134,1170
2015,7,10,1178,1159
2015,7,11,1262,1226
2015,7,12,1224,1255
2015,7,13,1295,1253
2015,7,14,1325,1298
2015,7,15,1338,1288
2015,7,16,1344,1298
2015,7,17,1426,1347
2015,7,18,1321,1298
2015,7,19,1287,1364
2015,7,20,1392,1227
2015,7,21,1377,1188
2015,7,22,1306,1149
2015,7,23,1379,1161
2015,7,24,1306,1135
2015,7,25,1318,1176
2015,7,26,1279,1274
2015,7,27,1317,1253
2015,7,28,1364,1307
2015,7,29,1535,1380
2015,7,30,1524,1410
2015,7,31,1580,1482
2015,7,32,1568,1468
2015,7,33,1638,1498
2015,7,34,1621,1565
2015,7,35,1766,1709
2015,7,36,1801,1614
2015,7,37,1818,1695
2015,7,38,1897,1800
2015,7,39,1935,1855
2015,7,40,2058,1915
2015,7,41,2112,1976
2015,7,42,1992,1963
2015,7,43,2023,1859
2015,7,44,1990,1838
2015,7,45,1845,1711
2015,7,46,1774,1750
2015,7,47,1837,1790
2015,7,48,1778,1713
2015,7,49,1527,1486
2015,7,50,1786,1682
2015,7,51,1627,1645
2015,7,52,1678,1556
2015,7,53,1585,1589
2015,7,54,1578,1687
2015,7,55,1740,1724
2015,7,56,1790,1702
2015,7,57,1684,1733
2015,7,58,1850,1683
2015,7,59,1714,1844
2015,7,60,1930,1947
2015,7,61,1890,1943
2015,7,62,2036,2045
2015,7,63,2166,2258
2015,7,64,2244,2333
2015,7,65,2441,2543
2015,7,66,2448,2398
2015,7,67,2487,2523
2015,7,68,2044,1984
2015,7,69,1136,1222
2015,7,70,1373,1494
2015,7,71,1663,1893
2015,7,72,1492,1757
2015,7,73,1594,1861
2015,7,74,1477,1653
2015,7,75,1402,1550
2015,7,76,1162,1401
2015,7,77,1314,1738
2015,7,78,1272,1621
2015,7,79,1300,1778
2015,7,80,1060,1550
2015,7,81,998,1466
2015,7,82,1018,1627
2015,7,83,913,1433
2015,7,84,874,1442
2015,7,85,743,1271
2015,7,86,742,1335
2015,7,87,623,1129
2015,7,88,557,1053
2015,7,89,476,1009
2015,7,90,330,796
2015,7,91,215,693
2015,7,92,157,564
2015,7,93,129,472
2015,7,94,128,442
2015,7,95,74,306
2015,7,96,48,199
2015,7,97,37,180
2015,7,98,21,110
2015,7,99,12,75
2015,7,100,7,52
2015,7,101,8,32
2015,7,102,4,19
2015,7,103,4,12
2015,7,104,0,7
2015,7,105,1,6
2015,7,106,2,1
2015,7,107,0,2
2015,7,108,0,1
2015,7,109,0,0
2015,7,110,0,0
2015,7,111,0,0
2015,7,112,0,0
2015,7,113,0,0
2015,7,114,0,0
2015,7,115,0,0
2015,7,116,0,0
2015,7,117,0,0
2015,7,118,0,0
2015,7,119,0,0
2015,7,120,0,0
2015,8,0,1027,972
2015,8,1,1080,1058
2015,8,2,1127,1054
2015,8,3,1154,1055
2015,8,4,1183,1110
2015,8,5,1160,1103
2015,8,6,1210,1119
2015,8,7,1242,1148
2015,8,8,1248,1208
2015,8,9,1167,1172
2015,8,10,1161,1159
2015,8,11,1266,1238
2015,8,12,1213,1230
2015,8,13,1257,1273
2015,8,14,1350,1273
2015,8,15,1331,1288
2015,8,16,1369,1297
2015,8,17,1412,1358
2015,8,18,1305,1277
2015,8,19,1296,1381
2015,8,20,1398,1244
2015,8,21,1359,1221
2015,8,22,1307,1133
2015,8,23,1367,1164
2015,8,24,1339,1136
2015,8,25,1304,1160
2015,8,26,1294,1255
2015,8,27,1278,1246
2015,8,28,1359,1323
2015,8,29,1537,1369
2015,8,30,1530,1404
2015,8,31,1566,1470
2015,8,32,1559,1478
2015,8,33,1643,1524
2015,8,34,1637,1519
2015,8,35,1759,1729
2015,8,36,1789,1607
2015,8,37,1811,1679
2015,8,38,1871,1793
2015,8,39,1957,1857
2015,8,40,2018,1899
2015,8,41,2116,1980
2015,8,42,2041,1961
2015,8,43,1988,1880
2015,8,44,2016,1812
2015,8,45,1849,1749
2015,8,46,1778,1717
2015,8,47,1837,1788
2015,8,48,1817,1774
2015,8,49,1462,1451
2015,8,50,1815,1692
2015,8,51,1612,1672
2015,8,52,1713,1544
2015,8,53,1570,1597
2015,8,54,1591,1639
2015,8,55,1719,1762
2015,8,56,1786,1687
2015,8,57,1696,1728
2015,8,58,1824,1683
2015,8,59,1747,1837
2015,8,60,1905,1943
2015,8,61,1899,1954
2015,8,62,2015,2041
2015,8,63,2160,2230
2015,8,64,2226,2328
2015,8,65,2455,2524
2015,8,66,2450,2422
2015,8,67,2487,2500
2015,8,68,2107,2079
2015,8,69,1135,1214
2015,8,70,1348,1470
2015,8,71,1655,1871
2015,8,72,1515,1752
2015,8,73,1605,1878
2015,8,74,1442,1664
2015,8,75,1437,1558
2015,8,76,1164,1406
2015,8,77,1298,1720
2015,8,78,1286,1639
2015,8,79,1299,1751
2015,8,80,1057,1563
2015,8,81,1012,1469
2015,8,82,1019,1613
2015,8,83,905,1418
2015,8,84,876,1468
2015,8,85,746,1257
2015,8,86,722,1345
2015,8,87,640,1127
2015,8,88,558,1065
2015,8,89,464,993
2015,8,90,337,825
2015,8,91,221,678
2015,8,92,154,564
2015,8,93,124,476
2015,8,94,129,438
2015,8,95,76,307
2015,8,96,44,210
2015,8,97,38,182
2015,8,98,21,105
2015,8,99,12,75
2015,8,100,6,52
2015,8,101,7,32
2015,8,102,5,20
2015,8,103,3,11
2015,8,104,0,6
2015,8,105,1,6
2015,8,106,2,1
2015,8,107,0,2
2015,8,108,0,1
2015,8,109,0,0
2015,8,110,0,0
2015,8,111,0,0
2015,8,112,0,0
2015,8,113,0,0
2015,8,114,0,0
2015,8,115,0,0
2015,8,116,0,0
2015,8,117,0,0
